正面,#,キャビネット図は、立体のどの面の寸法を正確に表しますか。
45°,#,キャビネット図は、奥行きを表す線を水平線に対して何度傾けますか。
1/2,#,キャビネット図は、奥行を示す線の長さを実際の長さに対してどのような割合で表しますか。
同じ割合,#,等角図は、線の長さの割合をどのように表しますか。
30°,#,等角図は、底面の2辺を水平線に対して左右に何度傾けますか。
斜眼紙,#,等角図を書く場合、方眼紙、斜眼紙のどちらを用いて製図しますか。
平面図,#,第三角法による正投影図は、正面図、右側面図とどのような面から書かれていますか。
正面図,#,どこの面を基準として書き始めますか。
工業製品,#,どのような製品の製図に使われていますか。
キャビネット図、等角図,#,製図には三つの方法がある。第三角法による正投影図、あと二つは何ですか。
同じ割合,#,等角図の製図では、縦、横、高さの３辺の比をどのような割合で表しますか。
キャビネット図,#,三つの製図のうち、奥行きの辺を４５度傾けるのはどれですか。
三角形の構造。,#,Bは斜め材を入れてどのような形の構造にしていますか。
１対2対4,#,Aを基準とした時、Aに比べて幅が2倍のB、高さが2倍のCでは曲げの強さの日は何対何対何になる。
キャビネット図。,#,立体の正面を実物と同じに描き、奥行きの辺を右方向に45度傾けて、実際の長さの1/2の割合で書いた図を何と言いますか。
等角図,#,立体の底面の直角に交わるに２辺を水平線に対して30度傾け、立体の縦、横、高さの比率を等しく表した図を何と言いますか。
第三角法による正投影図,#,立体の手前に互いに直角に交わる三つの画面を置き、各画面に対して、正面の方向から見た形をそのまま画面に映したと考えて描く図を第三角法による何図と言いますか。
