記憶,#,コンピュータは、入力した情報を記憶し、演算処理して何を行ったのち、出力しますか。
電気信号,#,コンピュータでは、処理できるように情報を何に変えて処理されますか。
デジタル化,#,コンピューターの中では、文字、画像、動画、音声などの全ての情報を０と1の組み合わせに置き換えて表現しています。このことを何化といいますか。
ビット,#,デジタル化された情報量の最小単位を何と言いますか。
バイト,#,データは８ビットを１つのまとまりとして扱います。８ビットの単位は何と言いますか。
1024バイト,#,１キロバイトは正確には何バイトですか。
ファイル,#,文字、画像、動画、音声など様々なデータの１つのまとまりを何と言いますか。
記憶媒体（記録メディア）,#,デジタル化された情報を保存するDVD、ブルーレイ・ディスクなどを何と言いますか。
アナログ情報,#,時刻や気温など、連続して変化する情報を何といいますか。
デジタル情報,#,数値を段階的に表す情報を何といいますか。
０と１,#,デジタル化は情報をどのような数字の組み合わせに変換したものですか。
解像度,#,画像情報は画素の集まりで表現されるが、その集まり度合いを何といいますか。
BKMGT(バイト→キロバイト→メガバイト→ギガバイト→テラバイト),#,T:テラバイト、M:メガバイト、G:ギガバイト、B:バイト、K;キロバイトをデータ量が小さい順に並べなさい。
劣化する,#,圧縮形式に変えることでデータ量を少なくすると品質はどうなりますか。
フォルダ,#,データのまとまりであるファイルはどこに入れて分類管理しますか。
少なくなる,#,ファイルのJPEG方式での保存はビットマップ方式で保存した時と比べてデータ量はどうなりますか。
記憶媒体,#,DVDやUSBメモリなどを総称して何といいますか。
正確に伝わる,#,デジタルに変換された情報の特徴として、様々な情報をまとめて保存できる、コンピュータで扱いやすい以外に何がありますか。
データの量が多くなる,#,印刷された文章を画像データとして電子メールで送る場合の欠点は何ですか。
