生物育成,#,人間が安心して生活するために、人間が作物や家畜などの生物の世話をし、育てることを何と言いますか。
持続可能な社会,#,生物を育てる技術の有効活用は、どのような社会を築くことに役立ちますか。
気象環境,#,作物の育成環境のうち大気や雨、温度、光といったものを何といいますか。
土壌環境,#,作物の育成環境のうち水分や養分、土壌粒子などを何といいますか。
生物環境,#,作物の育成環境のうち微生物、昆虫、鳥などを何といいますか。
気象要因,#,作物の成長に影響する環境要因には、生物要因、土壌要因以外に何がありますか。
植物工場,#,屋外の畑などで作物を育てることを露地栽培というのに対して、屋内で温室や光、養分などを制御して生産する施設を何と言いますか。
環境,#,収穫量を増やしたり、品質を向上させるためには、生物の成長に合わせて何を整えることが必要ですか。
品種改良,#,生物の特徴を改良する技術を何といいますか。
成長を管理する技術,#,生物の特性や生育段階を見ながら適切に管理する技術を何といいますか。
電照栽培,#,光を当てる時間を調節することで、植物を効率的に栽培する方法を何といいますか。
中性植物,#,日の長さと関係なく花芽を作る植物を何といいますか。
短日植物,#,日が短くなると花芽を作る植物を何といいますか。
長日植物,#,日が長くなると花芽を作る植物を何といいますか。
光合成,#,植物が光のエネルギーによって栄養分をつくる働きを何といいますか。
容器栽培,#,植物を鉢やポットで栽培することを何といいますか。
リン,#,肥料の三要素として、窒素、カリウム、あともう一つは何ですか。
球根,#,スイセン、ダリア、チューリップなどの特性として何で育てますか。
規則性,#,収穫量や作業効率を良くするためには、作物の何を考えた栽培が必要ですか。
8葉から9葉目,#,トマトの第1花房は本葉の何番目につきますか。
同じ,#,トマトの1段目の花房と他の花房では、出てくる方向が同じですか、それとも、違いますか。
