生活活動上の働き,#,衣服の持つ、運動や作業などの活動をしやすくする働きを何と言いますか。
保健衛生上の働き,#,衣服の持つ、体を清潔に保ったり、暑さ寒さを防いだりする働きを何と言いますか。
社会生活上の働き,#,衣服の持つ、個性や気持ちを表現したり、所属集団などを表したりする働きを何と言いますか。
職業,#,制服やユニフォームには、着ている人の所属集団や何を表しますか。
礼服,#,喜びや悲しみ、敬う気持ちを表す時に着る、あらたまった衣服は何ですか。
T.P.O,#,服装は、周りの人に与える印象について考え、何に応じた服装を選ぶことが大切ですか。
清潔に保つ,#,衣服には、汗を吸収するなど、体を何する役目がありますか。
下衣（したごろも）[ボトムス],#,主な衣服の種類で、ズボンやスカートなどを総称して何といますか。
上衣（じょうい）[トップス],#,Ｔシャツ、ブラウス、ジャケットなど、上半身に着用するものを総称して何といますか。
コーディネート,#,衣服や靴、帽子など２つ以上のものを、バランスよく組み合わせることを何といいますか。
慣習,#,衣服は職業や所属を表したり、敬意やお祝いの気持ちを表すため、何にならった服装をしますか。
社会生活上の働き,#,衣服には保健衛生上の働き、生活活動上の働き、最後は何の働きがありますか。
T.P.O,#,衣服を着用するときは何に配慮することが大切ですか。
time(タイム、時間)、place(プレイス、場所)、occation(オケーション、場合),#,T.P.Oはそれぞれ何の頭文字ですか。
衣服計画,#,目的に合わせて服を着用するため、手持ちの服を点検することを何といいますか。
表示,#,購入者に情報を提供し、品質を保証するために、既製服につけられているものは何ですか。
通信販売,#,衣服を購入するときは、専門店、百貨店、スーパーの他にどのような方法がありますか。
ＴＰＯ,#,服を着用する際は時間、場所、場合といった何に配慮したコーディネートにしますか。【ｱﾙﾌｧﾍﾞｯﾄ３文字で】
