返し縫い,#,ミシンで縫い始めや縫い終わりに、丈夫にしたいところを重ねて縫うことを何と言いますか。
ボビン,#,ミシンで下糸を巻くのは何という用具ですか。
手前,#,ミシンで、縫い始めの位置に針を刺すために、はずみ車はどの方向に回しますか。
上糸調整装置,#,ミシンで、上糸が強い、弱いなど糸の調子があっていない場合、ミシンの何で調節すると良いですか。
ロックミシン,#,布端がほつれないようにするため、裁(た)ち目をかがるように縫うミシンを何といいますか。
しつけ,#,ミシン縫いをする場合、布がずれないように縫う前に軽く縫っておくことを何と言いますか。
１mmくらい外側,#,しつけは、出来上がり線のどの位置を縫いますか。
太くなる,#,ミシン針の場合、数字が大きくなるほど針の太さはどうなりますか。
裁ちばさみ,#,布地の裁断に適したはさみを何と言いますか。
ピンキングばさみ,#,裁断をする場合に使うハサミで、歯がギザギザになっていて、主に布のほつれ止めに使用するものを何と言いますか。
チャコ(ペンシル),#,布に裁断などの線を描く時に使う用具を何と言いますか。
ルレット,#,布のしるし付けの時にチャコペンシル以外にもチャコペーパーを使う方法があります。このときに使う用具を何と言いますか。
指ぬき,#,縫い物をするとき、中指にはめて針の頭を押さえる裁縫用具を何と言いますか。
まち針,#,裁縫で、縫い合わせる布をとめたり、縫い止まりのしるしとして刺したりする針を何と言いますか。
リッパー,#,ボタンや縫い目の糸切りに使う用具を何と言いますか。
