固体,#,プラスチックは常温ではどのような状態ですか。
石油,#,プラスチックは主に何を原料にして作られますか。
熱可塑性プラスチック。,#,熱を加えると軟らかくなり、リサイクルしやすいプラスチックは何ですか。
熱硬化性プラスチック,#,一度固まると熱を加えても硬いままのプラスチックを何といいますか。
ポリエチレン（PE）,#,薬品や油に強く、ラップフィルムなどに使われるプラスチックは何ですか。
ポリスチレン（PS）,#,成形しやすく透明で、CDケースなどに使われているプラスチックは何ですか。
アクリル（PMMA）樹脂,#,ガラスに近い透明度を持ち、気温の変化や紫外線に強いプラスチックは何ですか。
ペット（PET） 樹脂,#,透明度が高くて丈夫で、ペットボトルなどに使われているプラスチックは何ですか。
フェノール樹脂（PF）,#,熱に強く、電気絶縁性が高いので、フライパンや鍋の取っ手などに使われているプラスチックは何ですか。
成形,#,プラスチックを型に流し込んで固める加工法を何と言いますか。
接着,#,接着剤を使って接合する加工法を何と言いますか。
塑性加工（そせいかこう）,#,材料に大きな力を加えて変形させ、目的とする形状に加工することを何と言いますか。
形状記憶ポリマー,#,冷えると変形された形のまま固まる性質を持った新素材のプラスチックを何と言いますか。
CFRP（炭素繊維強化プラスチック、Carbon Fiber Reinforced Plastics）,#,炭素繊維と樹脂が混ぜた強化プラックをアルファベットで何と言いますか。
生分解性（せいぶんかいせい）プラスチック,#,土中や水中の微生物によって分解されるプラスチックを何と言いますか。
マイクロプラスチック,#,海洋汚染の原因の１つの微小のプラスチックを何と言いますか。
アクリル樹脂,#,光学レンズや照明器具、水槽などに使われるプラスチックの種類を何といいますか。
