サービス,#,商品のうち、教育や医療といった具体的な形がないもを何といますか。
物資,#,商品のうち、自転車といった具体的な形があるものを何といますか。
店舗販売,#,スーパーやデパートなど店で商品を売る形式の販売方法を何と言いますか。
通信販売,#,インターネットやテレビなどを通して売る方法を何と言いますか。
無店舗販売,#,商品の販売方法で、訪問販売や通信販売など、店舗がない販売を何と言いますか。
即時払い,#,買った商品と引き換えに、その場で代金を支払う方法を何といますか。
前払い（プリペイド）,#,図書カードや回数券などを前もって払っておき、現金の代わりに使う支払う方法を何と言いますか。
後払い,#,クレジットカードなどで、物品を得た後に支払いをすることを何といいますか。
プリペイドカード,#,前もってチャージをすることで、支払うことができるカードを何といいますか。
プリペイド型電子マネー,#,SuicaやPayPayなどお金をスマートフォンであらかじめチャージ（入金）しておき、そこから支払う方法を何と言いますか。
キャッシュレス化,#,最近は支払い方法に現金を使わず、クレジットカードや電子マネーを使う傾向があります。このことを何化と言いますか。
悪質商法(悪徳商法),#,悪質な販売業者が消費者をだましたりし、物を売りつけたり、お金を請求したりすることを何商法といいますか。
アポイントメントセールス,#,店などに客を呼び出し、商品を購入させるセールスを何といいますか。
キャッチセールス,#,悪質商法のうち、町で消費者に声をかけ、喫茶店などに連れていって商品などを購入させる商法を何と言いますか。
ジャドマ・マーク,#,社団法人日本通信販売協会の正式な協会会員であることを示すマークを何と言いますか。
アフターサービス,#,購入後、修理や点検をしてもらえる保証やサービスを何といいますか。
消費者トラブル,#,消費生活において起こる様々なトラブルを何といいますか。
特定商取引に関する法律,#,訪問販売などのトラブルを防ぐために設けられている法律を何といいますか。
実物を見て購入できる,#,店舗販売の長所として、どんなことが考えられますか。
