センサー,#,エアコンや炊飯器などコンピュータで制御される機器で、周辺の情報を計測し、コンピューターがその情報を処理し、電気信号に変換する装置を何といいますか。
命令,#,コンピュータは計測された情報を基に判断して適切な何をしますか。
アクチュエータ,#,コンピューターの命令に従って仕事を行う部分を何といいますか。
インターフェイス,#,センサーの情報とコンピュータやコンピュータの情報とアクチュエータをつなぐ役割をするのを何といいますか。
プログラム,#,コンピューターが情報を処理する手順を命令の形で記述したものを何と言いますか。
プログラム言語,#,コンピュータに命令するときに用いるコンピューターが認識できる言語を何といいますか。
フローチャート,#,コンピュータープログラムを作るためには、情報処理の手順を考えます。この手順を表したものを何と言いますか。
分岐,#,フローチャートの基本となる３つの仕事の手順とは、順次、反復ともう１つ何ですか。
修正,#,プログラムを実行して思うように動かない時は、原因を考えプログラムに何を加えますか。
ひし形,#,情報処理の手順をマークで示す時、分岐はどのような形で示すか。
順次、分岐、反復,#,情報処理の手順を三つ答えなさい。
