心身の発達,#,幼児期の基本的生活習慣は何に伴って身につけていきますか。
約 １.５倍,#,１歳の幼児の身長は、生まれた時の約何倍ですか。
約２倍,#,出生時と比べたとき、四歳での身長は約何倍になりますか。
約３倍,#,個人差はありますが、幼児の体重は、生まれた時と比べると約何倍となりますか。
頭,#,幼児の体型の特徴として、身長に対してどの部分が大きいことが挙げられますか。
個人差,#,幼児の体の発達は、一定の方向と順序がありますが、発達の速度には差があります。そのことを何といいますか。
個性,#,幼児の発達には、早い、遅いの個人差があります。これはその人の何であると言えますか。
おすわり,#,おすわりと伝い歩きでは、どちらが先にできるようになりますか。
高い,#,幼児の体温は大人と比べてどうですか。
転びやすい,#,幼児は体に比べて頭が大きいので、どのようなことが起きやすいですか。
睡眠,#,大人と比べて、幼児が多くの時間を必要とするのは何の時間ですか。
自立心,#,幼児期に芽生える、自分の力で生活しようとする気持ちを何と言いますか。
第１次反抗期,#,２歳から４歳頃にかけて何でも自分でやりたがる時期を何と言いますか。
社会性,#,人に対して、様々な反応や働きかけができることを何の発達といいますか。
１語文,#,「ブーブー」や「マンマ」など、１つの単語で意味が成り立つ幼児の言葉を何と言いますか。
遊び,#,幼児の感性や創造する力は何によって育まれますか。
ルール,#,友達や集団で遊ぶことにより、身につけることができるものは何ですか。
おもちゃ,#,遊びのきっかけとなって、創造力が広がり、遊びを豊かにしてくれるものは何ですか。
安全,#,幼児の遊び場で最も重要なのは何ですか。
おやつ,#,幼児が３回食事以外で取る飲食を何といいますか。
行動,#,幼児と関わる時は、幼児特有の何を理解しておく必要がありますか。
安全、マナー,#,幼児施設を訪問する時に気をつけなければならない事は何と何ですか。
幼児期,#,出生から１歳までを乳児期と言います。では、１歳から小学校入学までの期間は何と言いますか。
ことばの発達,#,幼児期は心の発達も目覚ましく、人格形成の基礎を築くために、情緒の発達、社会性の発達、そして何の発達をしますか。
運動機能,#,幼児の発達で、特に個人差が大きいのは何ですか。
おもちゃ,#,幼児の遊びのきっかけとなり、イメージや創造力を広げ、そのイメージを誰かと共有して一緒に遊ぶことができる役割をするものは何ですか。
汗をかきやすい,#,幼児は体温を調節する機能が未発達なため、何をしやすいですか。
自制,#,その場に応じて自分の感情や行動をコントロールすることを何といいますか。
３歳,#,「なぜ」「どうして」という質問が多くなるのは、何歳ぐらいの頃ですか。
自我,#,幼児が自己主張をするようになるのは、何が芽生えた事によるものですか。
地域,#,家族以外で幼児が多くのことを経験する場所はどこですか。
幼児の目線の高さに合わせる,#,幼児と接する時、目線はどのようにするとよいですか。
家族や周りの人,#,幼児が生活習慣を身につけるため、まず援助をすべきなのは誰ですか。
