温室効果ガス,#,二酸化炭素やフロンなど、地球温暖化の主な原因となる気体を総称して何といますか。
地球温暖化,#,石油などの化石燃料の消費が原因で起こっている地球全体の問題を何といいますか。
容器包装リサイクル法,#,容器などのゴミ対策のため、消費者には分別排出、自治体には分別収集、事業者にはリサイクルの責任を義務づけた法律は何ですか。
持続可能な社会,#,省エネルギーや資源の再利用で環境を維持し、自然と共生し、環境を破壊しないように配慮する社会を何といいますか。
循環型社会,#,持続可能な社会を目指すために、限りある資源を循環させながら利用している社会を何といいますか。
リフューズ、リペア,#,循環型社会を推進していく取り組みとして3Rがあるが、消費者の取り組みとして、さらに2Rを加えた5Rも広がっている。この2Rは何と何ですか。
リフューズ,#,過剰包装を断ることは、5Rのどれに当たりますか。
ＳＤＧs,#,2015年に国連が採択した、持続可能な開発目標の略称を何と言いますか。
エシカル消費,#,人や社会が環境に配慮した倫理的な消費活動のことを何消費といいますか。
フェアトレード,#,開発途上国の生産者を守るために、賃金や労働条件を保障した適正な価格で購入することを何と言いますか。
リフューズ,#,循環型社会の取り組みとして、必要のないものは「買わない」「断る」ことを何といいますか。
グリーンコンシューマー,#,便利さや価格だけでなく、環境のことを考えて、商品や店を選ぶ消費者のことを何と言いますか。
SGマーク,#,製品安全協会が安全と認定した製品に付けられるマークを何と言いますか。
グリーンマーク,#,原料に古紙を規定の割合以上利用している製品をつけられ、紙のリサイクル促進を図るマークを何と言いますか。
エコマーク,#,環境への負荷が少なく、環境保全に役立つと認められた商品につけられるマークを何と言いますか。
STマーク,#,おもちゃの安全基準に適合した製品につけられるマークを何と言いますか。
JISマーク,#,日本工業規格に適合した生活用品につけられるマークを何と言いますか。
PSCマーク,#,国の定めた技術基準に適合した製品に付けられ、製品、安全、消費者を表しているマークを何と言いますか。
