メディア,#,文字や音声、静止画、動画などの表現手段を何と言いますか。
コンテンツ,#,デジタル化されたメディアを組み合わせて、意味のある情報として表現されたものを何と言いますか。
双方向性,#,コンテンツについて、使う人の働きかけによって、応答する機能のことを何と言いますか。
SNS,#,双方向性のあるコンテンツの身近な例として、何がありますか。
少ない,#,文字の特徴は簡単に作れて修正できることですが、データ量は多いですか、少ないですか。
修正しにくい,#,音声の特徴は、視覚に障害がある人にも内容が伝えられることであるが、データを修正しやすいですか、修正しにくですか。
多い,#,静止画の特徴は、デジタルカメラで簡単に作成できることであるが、見ることで伝えられる情報は多いですか、少ないですか。
多い,#,動画の特徴は、多くの情報に動きをつけて伝えられることであるが、データ量は多いですか、少ないですか。
構想,#,コンテンツの制作時に、目的・対象・必要な機能などを考えることを何と言いますか。
情報の受け手,#,構想をもとにコンテンツを設計する時は、何を意識して設計することが大切ですか。
制作,#,構想をもとに設計したものを、実際に形にすることを何と言いますか。
バグ,#,プログラムを作り、実行する時に、不具合やプログラム内にある誤りを何と言いますか。
デバッグ,#,バグを修正する作業を何と言いますか。
ユニバーサルデザイン,#,コンテンツを利用する多くの人のために、文字の読みやすさや操作のしやすさなどを意識したデザイン設計を何と言いますか。
改善や修正,#,問題解決に活用するには、制作したコンテンツを評価し、何を繰り返すことが大切ですか。
複数人で分担,#,制作では小さい処理のプログラムをどのように作ると効率的ですか。
