洋包丁,#,肉を切るのに適した包丁は何ですか。
ゆでる,#,硬い食品を柔らかくしてアクを抜くにはどうすればよいですか。
強火,#,鍋底全体に火が当たるぐらいの火加減を何といいますか。
中火,#,炎の先が鍋底に触れている状態ぐらいの火加減を何といいますか。
弱火,#,炎の先が鍋底に触れていない状態の火加減を何といいますか。
硬くなる,#,肉の特徴として、加熱するとどのようになりますか。
３０分以上,#,昆布で出汁を取るときは何分以上水につけておく必要がありますか。
味噌,#,味付けをする時の順番の基本は「さしすせそ」だが、「そ」とは何を指しますか。
砂糖,#,味付けをする時の順番の基本は「さしすせそ」だが、「さ」とは何を指しますか。
塩,#,味付けをする時の順番の基本は「さしすせそ」だが、「し」とは何を指しますか。
酢,#,味付けをする時の順番の基本は「さしすせそ」だが、「す」とは何を指しますか。
醤油,#,味付けをする時の順番の基本は「さしすせそ」だが、「せ」とは何を指しますか。
左,#,焼き魚の盛り付けは頭を左右どちらにしますか。
白身魚、赤身魚,#,魚を大きく２種類に分けたとき、何魚と何魚ですか。
赤身魚,#,魚の種類を白身魚と赤身魚で分けた時、生では柔らかく、加熱すると硬くなるのはどちらですか。
白身魚,#,鮭は白身魚、赤身魚のどちらですか。
くさみ,#,食塩水に魚をつけておくことで、魚の何を消すことができますか。
小麦粉,#,鮭のムニエルを作る際、焼く直前にまぶすものは何ですか。
汚れを拭き取る,#,食器や用具を洗う時は、環境のことを考え、まずはどのようにするとよいですか。
ばら,#,シチューを作る際の肉は、「ばら」と「もも」のどちらの部位の肉が適しますか。
へこませる,#,ハンバーグを作る際は、真ん中をどのようにしておくと形よく焼けますか。
果菜類（かさいるい）,#,野菜は大きく四つに分けることができますが、果実や種を食べる野菜を何といいますか。
根菜類,#,大根、ニンジン、レンコン、じゃがいもなど根を食べる野菜を何といいますか。
葉茎菜類(ようけいさいるい),#,ほうれん草やブロッコリー、ネギなど、葉や茎などを食べる野菜を何といいますか。
筋,#,肉を加熱すると縮んで硬くなります。それを防ぐために何を切っておきますか。
肉を柔らかくする。,#,肉の調理において、ショウガ、なし、パイナップル、キウイなどの食品を肉と一緒に使うと、肉をどのようにする働きがありますか。
強火,#,肉の旨みを逃さないために、最初はどのような火力で加熱して表面のタンパク質を固めますか。
牛肉と豚肉,#,ハンバーグなどを使う『合いびき肉』は何肉と何肉が使われていますか。
卵,#,ハンバーグの材料の中で、つなぎ力をつけるために入れる食材は何ですか。
沸騰してから入れる。,#,魚の旨みを逃さないために、煮魚を作るとき、魚は煮汁が沸騰する前に入れますか。それとも、沸騰してから入れますか。
かさ,#,生で食べられる野菜も加熱すると柔らかくなり、何が減ることで量を多くとることができますか。
塩,#,生野菜に何を加えると脱水して、しんなりしますか。
褐変(かっぺん),#,ごぼうやりんご、バナナなどは、切ったり皮をむいたりして空気中に放置すると褐色に変色します。この変化を何と言いますか。
水,#,ごぼうなどの褐変(かっぺん)を防ぐには、切ってすぐに何につけておくのがよいですか。
煮汁に流出する,#,キャベツをゆでると、キャベツに含まれるビタミンCはどうなりますか。
