情報セキュリティ,#,ネットワークを安心、安全に使える技術や対策を何といいますか。
認証システム,#,なりすましなどコンピューターへの不正侵入や保存されているデータの不正使用を防ぐ対策で、正当な利用者かどうかをIDやパスワードなど入力するなどして不正侵入を防ぐ技術を何と言いますか。
IDとパスワード,#,認証システムを行う際には、主に何と何を組み合わせて使用しますか。
ファイアウォール,#,通過させる情報とそうでない情報を選別して、外部からの攻撃や不正アクセスを防ぐ仕組みを何と言いますか。
暗号化,#,情報の改ざんなどを防ぐために特定の人だけが内容を知ることができるように他の記号などに変換することを情報の何と言いますか。
コンピューターウイルス,#,データの破壊や情報の流出などトラブルを起こす目的で作られたプログラムを何と言いますか。
バックアップ,#,データの紛失に備えて、コピーしたデータを保存することを何といいますか。
信頼性,#,ウェブページで得た情報は、情報の内容の何について検討することが大切ですか。
フィルタリング,#,問題のあるメールやWebページなどの情報を制限し、有害な情報を遮断する技術を何と言いますか。
不正アクセス行為,#,パスワードを無断使用してシステムに侵入するなどの行為を何といいますか。
ファイアウォール,#,外部との通信を一定の条件で制限し、内部の安全を維持する防火壁という意味の技術を何と言いますか。
セキュリティ対策ソフトウェア,#,コンピューターウィルスに感染しないために何をインストールすると良いですか。
