A（アンペア）,#,回路に流れる電気の量を表す単位は何ですか。
V（ボルト）,#,電流を流そうとする力を表す単位は何ですか。
W/h（ワット/時）,#,単位時間における電力量を表す単位は何ですか。
電流,#,電気回路に流れる電気の流れを何と言いますか。
電圧,#,電流を流そうとする力を何と言いますか。
電気抵抗（抵抗）,#,電流の流れにくさを何と言いますか。
交流,#,時間とともに電流の向きが周期的に変わる電源を何と言いますか。
直流,#,電池や太陽光で発電される電気エネルギーで、電流の向きが変化しない電気の流れを何と言いますか。
オームの法則,#,電圧は抵抗×電流で求められる。これを何といいますか。
周波数,#,交流で１秒間に繰り返す＋－の変化の回数を何と言いますか。
交流,#,発電所から家庭のコンセントに送られてくる電気は直流、それとも交流ですか。
ショート,#,火災や感電の原因にもなる、大きすぎる電流が電線に流れた状態を何と言いますか。
トラッキング現象,#,電源プラグとコンセントの間にたまったほこりが湿気を吸い込むと電流が流れ、出火の原因となります。この現象を何と言いますか。
漏電,#,故障や水漏れなどにより、回路以外に電流が流れることを何と言いますか。
アース線,#,洗濯などの機器がコンセントと一緒に接続し、感電を防ぐものを何と言いますか。
漏電遮断器,#,家庭などに設置されている分電盤で、漏電を感知すると作動するブレーカーを何と言いますか。
配線用遮断器,#,分電盤の中で負荷に許容量を超えた電流が流れたときに作動するブレーカーを何と言いますか。
電流制限器,#,分電盤の中で契約した電流量を超えたときに作動するブレーカーを何と言いますか。
電流、電圧、抵抗,#,漏電や導通を調べられる回路計という機器があります。回路計で直接測定できる３つは何ですか。
電力,#,電気抵抗（R）に電圧（V）を加えた時に流れる電流（I）によって、1秒間に消費される電気エネルギーを何といいますか。
電気回路,#,電源やモータ・発熱体などの負荷、導線などからなる電気の通り道を何と言いますか。
JIS（日本産業企画）,#,電気回路は、何で定められた図記号を用いた回路図で表しますか。
発光ダイオード（LED）,#,図の電気用図記号は何を表しますか。
コンセント,#,図の電気用図記号は何を表しますか。
フィラメント,#,白熱電球は何によって発光しますか。
LED,#,蛍光ランプとLEDで消費電力が少ないのはどちらですか。
運動エネルギー,#,モーターは電気エネルギーを何エネルギーに変換していますか。
はんだごて,#,電子部品の接続に使われる工具を何といいますか。
穴あきニッパ,#,コードやリード線を導線を傷つけずに電線の被覆をむく時に使用するのは何ですか。
