方向,#,動きを伝える仕組みによって、運動の速さ、力、運動の種類のほか、運動の何を変えることができますか。
速度伝達比,#,最初に駆動する駆動軸と最後の被動軸の回転速度の比を何と言いますか。
遅くなる,#,速度伝達比が大きいと回転力は大きくなりますが、回転速度は速くなる、遅くなるのどちらですか。
回転力（トルク）,#,速度伝達比について歯車の歯数を変えると、回転速度と何が変化しますか。
かみ合い,#,チェーン、平歯車、 かさ歯車はどういう動力で回転運動を伝えますか。
歯つきベルト,#,２軸が離れている場合に使われる仕組みで、自転車のベルトにも使われているものは何ですか。
スプロケット,#,オートバイや自転車に取り付けられている仕組みで、チェーンとかみ合って回転運動を伝える歯車は何ですか。
摩擦車,#,２軸の円盤を押し付けて摩擦によって回転運動を伝える仕組みは何ですか。
プーリ,#,摩擦で伝達する場合、２軸が離れている時に使われる(歯)車は何ですか。
直交,#,ウォームギアが動きを伝える仕組みは平行か直交のどちらですか。
プーリーとベルト,#,摩擦で回転を伝える仕組みにおいて、二つの軸が離れている時、何と何が使われますか。
