リンク装置,#,四本のリンク（棒）で成り立ち、運動の方向を変えることができる装置のことを何と言いますか。
往復直線運動,#,リンク装置は、回転運動を揺動運動の他どのような運動に変えることができますか。
４本,#,リンク装置は基本、何本のリンクで成り立っていますか。
クランク,#,リンク装置で回転運動をするものを何と言いますか。
てこ,#,リンク装置で揺動(ようどう)運動をするものを何と言いますか。
往復直線スライダ機構,#,リンク装置で往復直線運動する機構を何と言いますか。
てこクランク機構,#,回転運動を揺動運動に変える機構を何と言いますか。
往復スライダクランク機構,#,回転運動をスライダの往復直線運動に変える機構を何と言いますか。
平行クランク機構,#,平行四辺形のような形で、共に回転運動をする機構を何と言いますか。
てこクランク装置,#,リンクが回転すると、対辺にあるリンクが揺動運動をする装置のことを何と言いますか。
カム,#,カム装置で回転軸などに取り付けられる卵型などの板を何と言いますか。
カム装置,#,カム(原動節)が回転することで従動（じゅうどう）節が往復運動や揺動運動を行う装置のことを何と言いますか。
往復直線運動、揺動運動,#,カム装置では、回転運動をどのような運動に変えますか。
