水産生物,#,海洋、河川、湖などから産する動物で、食品や生活に利用される生物を何と言いますか。
放流,#,増殖技術の中で水産生物の稚魚を人の手である程度の大きさまで成長させた後、河川や海に放つことを何と言いますか。
栽培漁業,#,水産生物の卵を人工的にふ化させ、人工の餌を与えて外的から身を守ることができるまで成長したら、生育に適した場所に放流する漁業は何といいますか。
成長の特性,#,水産生物を栽培する場合、食性や何を考えて栽培対象を選ぶことが必要ですか。
養殖技術,#,水産生物を安定して供給するための技術を何と言いますか。
増殖,#,水産生物を安定的に供給できるように、人の手によって育てる『養殖』と海や川などの自然環境を利用して育てる何がありますか。
養殖,#,海や陸に特殊な施設をつくり、人工的に魚類、海藻類などの水産物を育てることを何といいますか。
移植,#,生育や繁殖のために、水産生物をある場所から他の場所に移すことを何と言いますか。
給餌,#,養殖技術では、養殖環境の整備と何を行うことが、水産生物の管理として重要ですか。
魚の口の大きさ,#,給餌で、魚に与える時、餌のサイズは何の大きさによって調整しますか。
