ハードウェア,#,コンピューター本体や接続された周辺装置をまとめて何と言いますか。
ソフトウェア,#,コンピュータの本体や周辺機器をハードウェアというのに対して、ハードウェアを動作させ、データを処理する手順を定めたプログラムを何と言いますか。
基本ソフトウェア,#,コンピューターを起動すると、まず最初に動き出すものを何といいますか。
OS（オペレーションシステム）。,#,基本ソフトウェアをアルファベット２文字で何と言いますか。
応用ソフトウェア（アプリケーションソフトウェア）,#,ソフトウェアを大きく分けた場合、文章を書く、映画を鑑賞するなど、特定の目的とする作業を行うプログラムを何と言いますか。
入力装置,#,キーボードやマウスなどの入力機能を持つハードウェアを何装置といいますか。
出力装置,#,コンピュータの本体で処理されたデータを画面や印刷物などの形に出力する装置を何と言いますか。
出力機能,#,コンピューターから処理情報などを人や他の装置に伝える機能を何といいますか。
中央処理装置(CPU),#,コンピュータの中心部分で、命令を実行する制御機能を持つのは、何という装置ですか。
主記憶装置（メインメモリ）,#,中央処理装置で処理されたプログラムやデータを一時的に記憶させておく装置は 補助記憶装置と何ですか。
演算機能,#,コンピュータの機能で、入出力の装置以外で、実際に情報を処理する機能を何といいますか。
記憶機能,#,コンピュータの機能で、命令や計算の結果を覚えておくための機能は何ですか。
制御機能,#,コンピュータの機能で、演算機能、記憶機能の機能などが順序正しく実行するための機能は何ですか。
ディスプレイ、プリンターなど,#,出力装置の代表的なものには何がありますか。２つ答えなさい。
記憶装置,#,処理結果など、覚えておくための機能を持つ装置を何といいますか。
リモコン,#,エアコンやテレビで入力の機能を果している付属機器を何といいますか。
CPU,#,情報を処理する演算機能、命令を実行する制御機能を果たす装置は、中央処理装置と呼ばれています。 その別名をアルファベット３文字で何と言いますか。
ハードディスク,#,命令や処理結果を覚えておくための記憶機能には、メインメモリーと補助記憶装置と呼ばれる何がありますか。
解像度,#,画像情報は、画素（ピクセル）と呼ばれる点の集まりで表現されています。その度合いを何と言いますか。
解像度が高い方,#,きめ細かいきれいな画面になるのは、解像度が高い方、解像度が低い方のどちらですか。
