栄養素,#,食物に含まれている成分を何と言いますか。
炭水化物、脂質,#,主にエネルギーとなる栄養素を二つ答えなさい。
たんぱく質、脂質,#,体の組織をつくる栄養素を二つ答えなさい。
無機質、ビタミン,#,体の調子を整える栄養素を二つ答えなさい。
無機質とビタミン,#,栄養素は、その働きから分けると、炭水化物、脂質、タンパク質とあと２つは何ですか。
腸,#,食物繊維は、体内で消化されませんが、何の調子を整えて健康を保つのに役立っていますか。
栄養素,#,健康な体をつくり、生きていくために必要な成分を何といいますか。
タンパク質,#,活動したり、体温を保つ働きのあるエネルギー源になる栄養素は、炭水化物、脂質ともう１つ何ですか。
無機質,#,筋肉や骨格など体の組織を作るのは、タンパク質、脂質ともう１つ何ですか。
ビタミン,#,体の調子を整えるのは無機質と何ですか。
炭水化物,#,糖質と、エネルギー源にはならない食物繊維がある栄養素は何ですか。
鉄,#,主に血液を作るもとになり、不足すると貧血になる無機質の成分は何ですか。
脂質,#,体内で消化吸収されて脂肪酸とグリセリン(モノグリセリド)に分解される栄養素は何ですか。
タンパク質、脂質、無機質,#,主に体の組織をつくる働きをする栄養素を三つ答えなさい。
必須アミノ酸,#,たんぱく質を構成している栄養で、体内ではつくられない物質を何といいますか。
体の調子を整える,#,ビタミンの主な働きは何ですか。
ビタミンD,#,骨や歯をじょうぶにする働きのあるビタミンの種類を何といいますか。
ブドウ糖,#,炭水化物は消化管で最終的に何に分解されますか。
食物繊維,#,炭水化物の中で、消化吸収されないが、腸の調子を整え便通を良くする栄養素は何ですか。
水,#,体の成分の５０％以上を占めるものは何ですか。
無機質,#,五大栄養素の中で、カルシウムや鉄など、体を作り、体の調子を整える働きをする栄養素は何ですか。
炭水化物,#,五大栄養素の中で主にエネルギー源になる栄養素は何ですか。
タンパク質,#,五大栄養素の中で、主に筋肉や臓器、血液を作る元になる栄養素は何ですか。
ビタミン,#,五大栄養素の中で、主に体の調子を整える働きがある栄養素は何ですか。
脂質,#,五大栄養素の中で、細胞膜の構成成分であり、エネルギー源にもなる栄養素は何ですか。
タンパク質、炭水化物、脂質,#,五大栄養素の中で、エネルギー源となる三つの栄養素は何ですか。
カルシウム,#,無機質の中でも、主に骨や歯を作る元になる栄養素はリンと何ですか。
炭水化物,#,食物繊維は五大栄養素の中で何にあたりますか。
ビタミンA,#,植物性食品に含まれるカロテンが体内で分解されてでき、目の働きを助けるビタミンは何ですか。
ビタミンB1、ビタミンB2,#,ビタミンの中で、炭水化物や脂質が体内でエネルギーに変わる時に必要な栄養素は何ですか。
ビタミンC,#,傷の回復を早め、病気への抵抗を高めるビタミンは何ですか。
糖質,#,炭水化物の中で、ブドウ糖などに分解され、エネルギー源となる栄養は何ですか。
水,#,栄養ではありませんが、吸収された栄養素を運搬し、老廃物の排出をし、体温の調節などの役割をするものは何ですか。
食事摂取基準,#,私たちが生命の意志や活動のために取ることが望ましい、一日あたりのエネルギーや栄養素の量の基準を示したものを何と言いますか。
タンパク質,#,中学生は成長期で活動も活発なため、筋肉などを作るための何の摂取基準が高いですか。
食品成分表,#,各食品に含まれる栄養素の種類や可食部100gあたりの栄養素の量を調べることができる表を何と言いますか。
栄養素の運搬,#,水分は、老廃物の運搬・排出、体温調節の他に主にどのような役割がありますか。
