食品安全基本法,#,食品の安全に関するさまざまな問題に対策するため、内閣府に食品安全委員会が設置され、2003年に何という法律が定められましたか。
食料自給率,#,国内の食糧を国内生産でどれだけまかなえているかを示す割合を何と言いますか。
約４０%,#,世界最大の食料輸入国である日本の食料自給率は、カロリーベースで約何%ですか。
消費を拡大する,#,食料自給率を上げるための施策の１つとして、自給率の高い米をどうする取り組みが行われていますか。
フードマイレージ,#,食品の輸送が環境に与える負荷の大きさを表す指標のことを何と言いますか。
輸送量（ｔ）×輸送距離（ｋｍ）,#,フードマイレージは、どのような計算によって算出されますか。
バーチャルウォーター,#,食料を生産する際に必要と想定される水の量を何と言いますか。
エコクッキング,#,余った食材や野菜の切れ端などを調理に利用するなど、環境に配慮した調理方法を何と言いますか。
カーボンフットプリント,#,食品の生産や流通の中で出された二酸化炭素などの温室効果ガスの量を何と言いますか。
汁物,#,バランスの良い食事にするためには、主食、主菜、副菜と何を組み合わせるとよいですか。
３回,#,一日の食品摂取量を何回に分けて食べるとよいですか。
食品ロス,#,日本でも毎年500万ｔ以上も発生している、本来食べられるのに捨てられてしまう食品のことを何と言いますか。
廃棄率,#,食べないで捨ててしまう食品の割合を何といいますか。
