定格電流,#,電気部品に流して安全に使用できる電流を何といいますか。
定格電圧,#,電気機器が安全に使用できる電圧の限界値を何と言いますか。
ブレーカー,#,屋内配線で過電流が流れたとき、危険防止のために回路を自動的に遮断する装置を何といいますか。
温度ヒューズ,#,定められた温度より高くなると、融けて回路を遮断する部品を何と言いますか。
漏電,#,電気回路以外に電流が流れてしまうことを何といいますか。
トラッキング現象,#,電源プラグとコンセントの間に溜まったほこりと湿気が原因でプラグやコンセントの表面が電流によって焦げる現象を何と言いますか。
ショート,#,２つの電線が接触して電線に大きな電流が流れ、火花が飛ぶことを何と言いますか。
アース線,#,漏電の電流を大地に導き、感電事故を防ぐ線を何と言いますか。
電気,#,回路計を使うときは測定しようとする何の量にあったスイッチを選びますか。
端子,#,ピンプラグ式のものは、ピンプラグを測定の目的に応じた何に入れて使いますか。
プラス,#,極性がある場合は、ピンプラグの赤を何端子に入れますか。
０Ω,#,アナログ式回路計で抵抗を測定する時は何調整をしますか。
導通試験,#,回路計を用い、回路が断線していないかを調べることを何といいますか。
マイナス,#,直流電圧測定では、黒テスト棒はプラスとマイナスのどちら側に当てますか。
負荷,#,電流を測定する時は、回路のどこに電流を流しますか。
電源プラグを抜く,#,電気機器が作動しない時、まず最初にすべきことは何ですか。
継続的に性能を発揮させること,#,機器を保守点検する目的は何ですか。
電源、導線、負荷,#,電気には回路が組み込まれている。回路を構成する三つのものは何ですか。すべて答えなさい。
危険,#,消費電力が500Wの電気こたつと1250Wのホットプレートをタコ足配線で使用しました。延長コードのテーブルタップの定格電流が15A、定格電圧が125Vの場合では、安全ですか、危険ですか。
