適度な運動,#,健康を支える三つの柱は、食事、充分な休養、そして適度な何ですか。
食事,#,健康を支える三つの柱は充分な休養、適度な運動、そしてもう１つは何ですか。
充分な休養,#,健康を支える三つの柱は食事、適度な運動、そしてもう１つは何ですか。
(バランスの良い)食事、充分な休養、適度な運動,#,健康を支える三本柱とは何ですか。
生活のリズム,#,食事の役割の中で、規則正しい食事は、何を作る目的がありますか。
触れ合いが深まる,#,食事の役割の中で、家族や友達と一緒に食事をするとどのような利点がありますか。
食文化を受け継ぐ,#,食事の役割の中で、社会的な役割としては何がありますか。
栄養のバランスが取れた食事,#,心身ともに健康であるためには、適度な運動と十分な休養の他にもう1つ、どのような食事を取ることが必要ですか。
生活習慣病,#,食習慣や運動習慣、休養の取り方などが原因となる病気を総称して何といますか。
癌,#,生活習慣病に位置づけられるのは癌、結核、リウマチのうちどれですか。
朝食をとること,#,健康的な食生活を送るために大切なことは、毎朝何をすることか。
食習慣,#,毎日繰り返し行われる食事の習慣のことを何といいますか。
孤食,#,１人だけで食事をとることを何と言いますか。
個食,#,一緒に食事をしても、それぞれが食べたいものを食べることを何と言いますか。
偏食,#,食べ物に対する好き嫌いを何といいますか。
過食,#,食べ過ぎることや、その食生活を何といいますか。
欠食,#,食事を抜くことや、その食生活を何といいますか。
肥満,#,糖分や脂肪の取り過ぎなどは何の原因になりますか。
食塩,#,高血圧になるリスクが高まる要因の１つとして、何のとりすぎがあげられますか。
食生活指針,#,食生活の改善に取り組む具体的な目標であり、国民の健康増進を目的に作成された指針は何ですか。
