水はけ,#,植物がよく育つ土とは、水分や養分を保ち、通気と何がいいと良い土ですか。
団粒構造,#,水はけが良く、細かな粒子が集まった塊があり、植物の生育に適している土の構造を何といいますか。
単粒構造,#,団粒構造に対して、小さな粒子だけで、塊にならない土の構造を何と言いますか。
腐葉土,#,土を柔らかくし、通気性や補水性を高める効果を持つものは何ですか。
中性から弱酸性,#,植物の生育に適した酸度はどういう範囲ですか。
肥料の三要素,#,肥料の中でも植物の生育に大きく影響する窒素、リン、カリウムのことをまとめて何と言いますか。
窒素,#,窒素、リン、カリウムの中で、葉や根の成長に役立つものは何ですか。
カリウム,#,窒素、リン、カリウムの中で、光合成を活発にし、果実や根の成長を促すものは何ですか。
黄色,#,マグネシウムが欠乏すると、下葉や葉先は何色になりますか。
有機質肥料,#,動植物や動物の排泄物などを原料にし、微生物やミミズによって分解されてできる肥料を何と言いますか。
団粒構造,#,土壌には単粒構造と団粒構造があります。植物の成長に適しているのはどちらですか。
元肥（もとごえ）,#,作物を植え付ける前に、あらかじめ施す肥料を何と言いますか。
追肥（ついひ）,#,作物が生育するにつれ、追加する肥料を何と言いますか。
追肥（ついひ）,#,ダイコンを間引いたあとはどのように肥料を管理するのが良いですか。
KNP(窒素、リン、カリウム）,#,肥料の三要素に含まれる要素名は何ですか。【アルファベットでアルファベット順】
家畜,#,人間の保護により繁殖し、食用や労働力として役立つ動物を何といいますか。
習性,#,動物が環境の変化や外敵から身を守る行動や、食習慣などの特性を何と言いますか。
生物的要因,#,家畜を取り巻く環境の中で、有益さと害の両方があり、微生物や他の家畜の影響を受ける要因を何要因と言いますか。
物理的要因,#,家畜を取り巻く環境の中で、ガスや音などで動物のストレスになる要因を何要因 と言いますか。
屋内,#,日本では放牧地になる土地が少なく、雨が多いため、飼育の大部分はどこで行われていますか。
給餌（きゅうじ）,#,動物に餌を与える作業を何と言いますか。
繁殖,#,家畜を健康に飼育するためには、給餌の管理と、環境・衛生の管理以外、何が重要ですか。
清掃,#,繁殖の環境、衛生の管理の中で、日常行われる環境の管理として重要なことは畜舎内の換気と何ですか。
スマート農業,#,ICTなどの先端技術を活用し、超省力化や高品質化を可能にする農業を何と言いますか。
濃厚飼料,#,豚や牛の餌で穀物などを主体にしたものを何といいますか。
