ネットワーク,#,コンピュータどうしを接続して、互いに情報をやり取りできるような仕組みを何と言いますか。
情報通信ネットワーク,#,コンピューターだけではなく、電話やテレビなど通信、放送機器などを接続したものを何と言いますか。
インターネット,#,世界的な規模で広がるネットワークを何と言いますか。
プロバイダ,#,家庭などからインターネットに接続するには、ドコモ光やフレッツ光などの接続サービスを行う会社と契約する必要があります。このような会社のことを何と言いますか。
LAN（ラン）,#,部屋､建物など狭い範囲でのネットワークを何といいますか。
WAN（ワン）,#,LAN同士をつなげた広域ネットワークを何と言いますか。
インターネット,#,世界的な規模の情報通信ネットワークを何といいますか。
ブラウザソフトウェア,#,ウェブページを閲覧する時には何のソフトが必要ですか。
URL,#,インターネット上の住所にあたり、WEBページを表示させる場合に必要なものを、アルファベット３文字で何と言いますか。
検索エンジン,#,情報の検索にはどんなプログラムを利用されすか。
IPアドレス,#,インターネットに接続されたコンピューターを識別するための識別番号を何と言いますか。
通信プロトコル,#,ネットワーク上で情報をやり取りする時の約束ごとを何と言いますか。
パケット,#,データを送信するときは小さな単位に分割され、通信するが、この単位を何といいますか。
サーバー,#,データを保存し、電子メールやWebページ閲覧など、情報通信の操作をするための、サービスを提供するコンピューターを何と言いますか。
ルーター,#,データ送信のとき、ネットワークから別のネットワークへ中継する装置を何といいますか。
