栄要素,#,私たちが食事から取り入れているものは何ですか。
エネルギー,#,栄養素は活動するための何となりますか。
基礎代謝量,#,生きていく上で必要最小限のエネルギーの量を何と言いますか。
バランスよく摂る,#,健康のためには、栄養素をどのように取ることが必要ですか。
バランス,#,栄養素はどのようなことに気をつけてとることが大切か。
男子2600kcal、女子 2400kcal,#,中学生が１日に必要なエネルギー量を男女それぞれ答えなさい。
高血圧,#,ナトリウムの取りすぎによる障害例を答えなさい。
脂肪,#,健康に過ごすためには、塩の他何を控えた方が良いですか。
保持増進,#,１日３回の食事を適切にとり、規則正しい食生活を送ることは、健康の何につながりますか。
体力低下、貧血など,#,タンパク質が不足した場合の障害例を答えなさい。
骨・歯の発育不良など,#,カルシウムが不足した場合の障害例を答えなさい。
視力低下、抵抗力低下、皮膚病など,#,ビタミンAが不足した場合の障害例を答えなさい。
肥満、生活習慣病、大腸癌など,#,脂質の取り過ぎによる障害例を答えなさい。
運動習慣,#,長く健康を維持するために、どんな習慣を身につけることが大切ですか。
発達,#,運動することにより、体の器官の何が促されますか。
各器官,#,適度な運動は、体の何の発達を促しますか。
ストレスの解消,#,適度な運動は、体の発達だけでなく、何に役立ちますか。
生活習慣病,#,運動不足は体力低下だけでなく、肥満や何の原因となりますか。
拍出量,#,運動が体にもたらす効果として、心臓で増加するものは何ですか。
肺活量,#,運動が体にもたらす効果として、肺で増加するものは何ですか。
スポーツ障害,#,過度な運動が引き起こす障害を何と言いますか。
疲労,#,長時間の学習や作業により感じる、眠気やイライラなどの心身の状態を何と言いますか。
精神的疲労,#,疲労を大きく２つに分けるとき、身体的疲労と、もう一つは何ですか。
抵抗力,#,疲労が蓄積することにより、病気にかかりやすくなるのは、体の何が低下するからですか。
休養,#,疲労の回復には何が有効ですか。
身体的疲労,#,疲労のうち、体の疲労を何といいますか。
３０分～１時間ごと,#,長時間コンピューターを使用したり、テレビゲームをしたりすると目や体、精神が疲労するなど心身に影響が出ます。予防としてどれくらいの間隔で休憩を取ると良いですか。
睡眠,#,疲労回復に最も効果的なことは何ですか。
休養,#,睡眠に加えて、疲労回復に必要なことは何ですか。
成長ホルモン,#,深い眠りの間に多く分泌されるホルモンは何ですか。
睡眠、入浴、軽い運動、栄養補給、趣味でリラックスするなど,#,休養の具体的な例を答えなさい。
野球肘、サッカー足など,#,スポーツ障害の症例を答えなさい。
医療機関,#,各種検査や病気や怪我の診察、治療を行う機関を何といいますか。
保健所,#,感染症対策や食中毒の対応、住民の健康保持の保健計画などの専門的な活動をするのはどこですか。
保健センター,#,予防接種や発達相談、乳幼児の健康診断を受け付けるのは何という機関ですか。
主作用,#,病気の治療や予防に適切に働く医療品の効果を何といいますか。
副作用,#,医薬品が合わせて持っている本来の目的ではない作用を何といいますか。
自然治癒力,#,体に元々備わっている病気を直そうとする力を何と言いますか。
厚生労働省,#,国民の健康を守るために活動している国の機関は何と言いますか。
WHO（世界保健機関）,#,世界規模の健康問題に対処している、保健衛生に関する国際連合の専門機関を何と言いますか。
かかりつけ医,#,地域の診療所や医院など、主に初期治療を行う機関を何といいますか。
保険機関,#,国民の健康維持や病気予防の役割を担っているのはなんと呼ばれる機関ですか。
専門的な治療,#,大学病院や総合病院は、主にどのような治療をする所と言えますか。
内用剤,#,錠剤、シロップ剤、散剤などを総合して何と言いますか。
外用剤,#,トローチ剤、点眼剤、坐剤などを総合して何と言いますか。
点滴,#,注射剤には、注射とその他に何がありますか。
使用量,#,医薬品の使用では、使用回数、使用時間などを厳守しなければならないが、もう一つ守るべき重要なことは何ですか。
２時間,#,薬の飲み方での「食間」とは食後何時間程度のことか。
OTC薬,#,処方箋がなくても店舗などで購入できる医薬品を何といいますか。
お薬手帳,#,服用歴が確認でき、医師や薬剤師が薬を適切に処方するための手助けとなる手帳を何といいますか。
健康増進法,#,国民の健康増進を目的として、国、地域、個人が取り組むべき基本事項を定めた法律は何ですか。
保健活動,#,健康増進法により、健康診断や健康相談が行われているが、これらを何といいますか。
ヘルスプロモーション,#,健康を守るための社会の取り組みを支えに、自らの健康維持に積極的に努力しようという考え方を何といいますか。
