生活態度,#,子供にとって重要な環境である家庭で、子供の成長に大きな影響を与えるのは何ですか。
信頼感,#,子どもの成長や発達の元となるのは、家族や身近な人に対するどういう感情ですか。
家族の愛情,#,子供が健やかに成長するために大切な信頼関係は、何によって形成されますか。
思春期,#,中学生の頃の心身ともに子供から大人へ移行する時期を何と言いますか。
批判的な態度,#,思春期の時期の特徴として、親に依存したい気持ちがある反面、心理的に１人で行いたいと思ったり、どのような態度を取るようになりますか。
自立,#,家族などの助けなしに自分自身で責任を持って行動することを何と言いますか。
協力し合う,#,自立のためには、助けてもらうだけでなく、自らも周囲の人を助けて、お互いがどうすることが大切ですか。
話し合い,#,親子関係に摩擦が生じた場合、お互いを受け止めた上で、何が大切になってきますか。
会話,#,良好な家族関係を築くためには、家族と触れ合い、日頃から何をすることが大切ですか。
ロールプレイング,#,立場が異なる人の役割を即興で演じることにより、互いの立場に対する理解を深める方法を何といいますか。
共生,#,家族だけでなく、さまざまな人たちとともに生活をつくっていくことを何といいますか。
相手の立場を自分の立場に置き換える。,#,家族との関係がうまくいかない時、相手の気持ちを理解するためにどのようなことをしてみるとよいですか。
