けがき,#,材料を切断したり、削ったり、組み立てたりする時に、線や印を材料に書くことを何と言いますか。
平らな面,#,材料をけがく時はどの面を基準としますか。
長手,#,差し金で長い方を何と言いますか。
妻手（つまで）,#,差し金の短い方を何と言いますか。
基準面,#,けがきをする場合、最初に寸法を測り、印をつける面を何と言いますか。
こば,#,木製の板材をけがく時はどこを基準面とすますか。
直角な線,#,工具を基準面に密着させて基準面に対してどのような線を引きますか。
切断線,#,けがきの線には、仕上がり寸法線ともう１つ何という線がありますか。
切りしろ,#,仕上がり寸法線を書く時には3～5mm離して書くが、この幅は削りしろにのこぎりびきの溝の幅を表す何を足したものですか。
鋼尺（直定規）,#,金属の板材をけがく時や直線を引いたり寸法を測ったりする時に使う工具は何ですか。
けがき針,#,金属の板材などに印をつけたり、線を引く時に使う、鉛筆と同じ役目をする道具は何ですか。
基準とする辺（線）,#,寸法を取る場合、鋼尺の目盛りを材料のどこに合わせますか。
鉛筆,#,プラスチックの板材に保護紙が張ってある場合、何を用いてけがくと良いですか。
油性のサインペン,#,プラスチックの板材に保護紙が張ってない場合、何を用いてけがくと良いですか。
CAEBD(けがき→切断→部品の加工→組立→仕上げ ),#,製作工程の順番はどのようになりますか。[Ａ:切断、Ｂ:組立、Ｃ:けがき、Ｄ:仕上げ、Ｅ:部品の加工]
防塵メガネ,#,木材の切りくずなどが飛び散る時に目を守るために装着するものを何といいますか。
良い,#,プラスチックの板材は表面に保護紙が貼ってある場合がある。そのまま鉛筆で書いて良いですか。
仕上がり寸法線,#,木材のケガキをする場合、切りしろを考えて三本線を引きます。真ん中は切断線と言いますが、両側の線は何と言いますか。
さしがね,#,木材のケガキで使用するこの工具を何と言いますか。
けがき針,#,金属にけがきをするときは、鋼尺や直角定規を使い、何でけがきますか。
センタポンチ,#,金属に穴のケガキをするときに使う工具を何と言いますか。
直定規、鋼尺,#,プラスチックや金属の板材をけがく時は、けがき針の先を何や何に密着させるか。
