基本的生活習慣,#,子供の成長で、食事、睡眠、排泄など、健康に生きていくために日々、繰り返して行う行動習慣を何と言いますか。
１人で決まった時間に寝起きできる,#,子供の成長で、睡眠の場合、基本的生活習慣が身につくということはどのようなことですか。
生活の自立,#,子供の成長で、基本的生活習慣は、心身の発達の基盤を作り、何の第一歩になりますか。
社会的生活習慣,#,社会の一員として身につけていく約束事やマナー、挨拶などの習慣を何と言いますか。
挨拶をする,#,子供の社会的生活習慣の対人関係についての習慣では、「順番を守る」の他にどんな習慣があげられますか。
人の真似をする,#,子供が、基本的生活習慣や社会的生活習慣を身につけるには、家族や周りの人に教わる他にどのような方法がありますか。
心身の発達,#,家族や周りの人が、基本的生活習慣や社会的生活習慣を教える時は、幼児の何に合わせた配慮をすることが大切と言えますか。
順番を守る,#,子供の社会的生活習慣の対人関係についての習慣では、「挨拶をする」の他にどんな習慣があげられますか。
幼稚園,#,子供を預かる施設や機関のうち、３歳から修学前までの子供が対象のものを何と言いますか。
保育所,#,保護者が働いているなどの理由で、保育を必要とする乳幼児を預かり、保育することを目的とする施設を何といいますか。
一時保育,#,子育て中の親が病気になったり用事ができたりした時に、一時的に子供を預かる制度を何と言いますか。
子育て支援センター,#,子育て中の親の交流の場や相談活動を実施していて、 各市町村などに設置されている施設は何ですか。
食べることが楽しくなる雰囲気,#,大人が子供の食事を援助する際は、どんな雰囲気づくりを心がけると良いですか。
