かんな削り,#,木材をかんなを使って削ることを何削りと言いますか。
ならい目削り,#,かんなを使い、木目に沿って削る削り方を何と言いますか。
さか目削り,#,かんなを使うとき、木目に逆らって削ることを、何削りといいますか。
かんな身のかしら,#,かんな身を出す時、かんな身のどこを叩きますか。
0.05～0.1mm,#,かんながけをする時、刃先が何mmくらい出るように調整すれば良いですか。
表面の荒れ,#,かんなの裏金の役目は、さかめ削りの時のどのようなことを防ぎますか。
手前に引く,#,平面を削る場合では、利き手でかんなを押え、片方の手を台がしらに置き、全体を奥に押しますか、手前に引きますか。
削り台,#,かんなで、こばを削る時、木材を何に固定しますか。
ならい目削りで削る,#,かんなで、こばを削る時、削る方向はどうすると良いですか。
2/3程度,#,かんなで、こぐちを削る時は、初めに板幅のどの程度の割合で削りますか。
裏がね,#,さか目削りで木材の表面が荒れてしまった時は、かんなの何で調整しますか。
角,#,かんな身を出したい時は、かしらを叩き、抜きたい時は台がしらのどこを左右交互に叩きますか。
こば削り,#,板材を削り台に固定し、かんなを工作台の上で滑らせて削る方法を何といいますか。
平けずり,#,材料を削り台に固定し、かんなを押さえる力を弱めず水平に削る方法を何といいますか。
こぐち削り,#,端が割れやすくなるのは、どのような方法で削った時ですか。
Ｂ(かんな身の抜き方),#,かんな身と平行に台がしらの角を左右交互に叩く方法はかんな身の出し方Ａ、それとも抜き方Ｂですか。
ならい目削り,#,かんなを使うときは何削りにしますか。
さか目削り,#,かんな削りで木材を削る方向にはならい目削りとさか目削りがあります。表面が荒くなってしまうのはどちらですか。
裏金,#,逆目削りで表面が粗くなってしまうとき、何を効かせると粗さが小さくできますか。
げんのう,#,くぎを打つ（くぎ接合）時に使う工具を何と言いますか。
四つ目ぎり,#,くぎの下穴を開けるときに使う、きりの種類を何といいますか。
くぎが入る半分程度,#,くぎ接合の時、きりであける下穴の深さはどのくらいですか。
平らな面,#,くぎ打ちの最初では、げんのうは平らな面と曲面のどちらを使いますか。
曲面,#,くぎ打ちの最後では、げんのうは平らな面と曲面のどちらを使いますか。
くぎ抜き,#,曲がったくぎを引き抜くのに使う工具は何ですか。
B(平行な場合),#,くぎ接合を行うとき、下の木材の繊維方向が直角な場合Ａと平行な場合Ｂではどちらが長いくぎを使う必要がありますか。
３倍,#,下板の繊維と平行してくぎを打つ時、くぎの長さは上板に対しておよそ何倍が良いですか。
材面が傷つかないようにするため。,#,くぎ打ちで、最後はげんのうの曲面に変えて打ちます。最後を曲面に変えるのはなぜですか。
くぎしめ,#,げんのうで打ったくぎを、さらに埋めるように打ち込む工具を何と言いますか。
