濡れても縮まない,#,動物繊維の毛と比較した場合、化学繊維の長所は何ですか。
組成表示,#,布に用いられている繊維情報は衣服のどこを確認すれば良いですか。
洗濯ネット,#,洗濯機で洗う場合、摩擦に弱いものや型崩れしやすいものは、何に入れて洗うと良いですか。
合成洗剤,#,洗剤の主な種類は石鹸と何ですか。
中性,#,洗剤には弱アルカリ性と中性がありますが、動物繊維に適した洗剤はどちらですか。
弱アルカリ性,#,石鹸は弱アルカリ性と中性のどちらですか。
中性洗剤,#,動物繊維を洗うときに適した洗剤は何ですか。
前もって湯で溶かしておく,#,石鹸は、水に溶けにくい場合、どのようにして使用すると良いですか。
脱水,#,洗濯機洗いで、洗い、すすぎの次の手順は何ですか。
動物繊維,#,日光に当てると色があせることがあるのは、植物繊維と動物繊維のどちらですか。
弱アルカリ性,#,植物繊維[綿、麻]を洗うのに適した洗剤は何性ですか。(弱アルカリ性、中性、弱酸性)
中性,#,動物繊維[毛、絹]を洗うのに適した洗剤は何性ですか。(弱アルカリ性、中性、弱酸性)
弱アルカリ性,#,化学繊維を洗うのに適した洗剤は何性ですか。(弱アルカリ性、中性、弱酸性)
油汚れ,#,ドライクリーニングでは有機溶剤を用いて主に何の汚れを落としますか。
繊維の性質,#,衣服を手入れする時は、何に応じた手入れが必要ですか。
ドライクリーニング,#,油性の汚れを落とすクリーニングを何といいますか。
界面活性剤,#,洗濯洗剤は水と油をなじませて汚れを繊維から離す働きをする。何が含まれていますか。
ウェットクリーニング,#,水溶性の汚れを落とすクリーニングを何といいますか。
動物繊維。,#,植物繊維、動物繊維、合成繊維の中で、弱アルカリ性洗剤ではなく、中性洗剤が適している繊維はどれですか。
取り扱い表示,#,既製品のタグには、サイズ表示、組成表示、取り扱い表示、撥水性の表示、原産国表示があります。この中で洗濯や手入れ方法を示したものはどれですか。
JIS,#,サイズ表示や取り扱い表示には、国が定めた規格があります。その日本工業規格の略称はｱﾙﾌｧﾍﾞｯﾄ３文字で何と言いますか。
